creator,stimuli,image,filepath,originality_ocs,percentile_ocs
AI_prompt1,G,Dalle01.png,../data/AI/prompt_1/stimuli_G/Dalle01.png,0.72,93.0
AI_prompt1,G,Dalle02.png,../data/AI/prompt_1/stimuli_G/Dalle02.png,0.58,69.0
AI_prompt1,G,Dalle03.png,../data/AI/prompt_1/stimuli_G/Dalle03.png,0.82,98.0
AI_prompt1,G,Dalle04.png,../data/AI/prompt_1/stimuli_G/Dalle04.png,0.52,51.0
AI_prompt1,G,Dalle05.png,../data/AI/prompt_1/stimuli_G/Dalle05.png,0.58,68.0
AI_prompt1,G,Dalle06.png,../data/AI/prompt_1/stimuli_G/Dalle06.png,0.86,99.0
AI_prompt1,G,Dalle07.png,../data/AI/prompt_1/stimuli_G/Dalle07.png,0.57,65.0
AI_prompt1,G,Dalle08.png,../data/AI/prompt_1/stimuli_G/Dalle08.png,0.83,98.0
AI_prompt1,G,Dalle09.png,../data/AI/prompt_1/stimuli_G/Dalle09.png,0.67,87.0
AI_prompt1,G,Dalle10.png,../data/AI/prompt_1/stimuli_G/Dalle10.png,0.38,18.0
AI_prompt1,G,Dalle11.png,../data/AI/prompt_1/stimuli_G/Dalle11.png,0.62,76.0
AI_prompt1,G,Dalle12.png,../data/AI/prompt_1/stimuli_G/Dalle12.png,0.82,98.0
AI_prompt1,G,Dalle13.png,../data/AI/prompt_1/stimuli_G/Dalle13.png,0.75,96.0
AI_prompt1,G,Dalle14.png,../data/AI/prompt_1/stimuli_G/Dalle14.png,0.74,95.0
AI_prompt1,G,Dalle15.png,../data/AI/prompt_1/stimuli_G/Dalle15.png,0.64,81.0
AI_prompt1,G,Dalle16.png,../data/AI/prompt_1/stimuli_G/Dalle16.png,0.71,92.0
AI_prompt1,G,Dalle17.png,../data/AI/prompt_1/stimuli_G/Dalle17.png,0.85,99.0
AI_prompt1,G,Dalle18.png,../data/AI/prompt_1/stimuli_G/Dalle18.png,0.6,74.0
AI_prompt1,G,Dalle19.png,../data/AI/prompt_1/stimuli_G/Dalle19.png,0.58,68.0
AI_prompt1,G,Dalle20.png,../data/AI/prompt_1/stimuli_G/Dalle20.png,0.64,82.0
AI_prompt1,G,Dalle21.png,../data/AI/prompt_1/stimuli_G/Dalle21.png,0.71,92.0
AI_prompt1,G,Dalle22.png,../data/AI/prompt_1/stimuli_G/Dalle22.png,0.69,90.0
AI_prompt1,G,Dalle23.png,../data/AI/prompt_1/stimuli_G/Dalle23.png,0.55,60.0
AI_prompt1,G,Dalle24.png,../data/AI/prompt_1/stimuli_G/Dalle24.png,0.8,98.0
AI_prompt1,G,Dalle25.png,../data/AI/prompt_1/stimuli_G/Dalle25.png,0.49,44.0
AI_prompt1,G,Dalle26.png,../data/AI/prompt_1/stimuli_G/Dalle26.png,0.75,96.0
AI_prompt1,G,Dalle27.png,../data/AI/prompt_1/stimuli_G/Dalle27.png,0.68,88.0
AI_prompt1,G,Dalle28.png,../data/AI/prompt_1/stimuli_G/Dalle28.png,0.73,94.0
AI_prompt1,G,Dalle29.png,../data/AI/prompt_1/stimuli_G/Dalle29.png,0.87,99.0
AI_prompt1,G,Dalle30.png,../data/AI/prompt_1/stimuli_G/Dalle30.png,0.64,82.0
AI_prompt1,G,Dalle31.png,../data/AI/prompt_1/stimuli_G/Dalle31.png,0.53,55.0
AI_prompt1,G,Dalle32.png,../data/AI/prompt_1/stimuli_G/Dalle32.png,0.62,78.0
AI_prompt1,G,Dalle33.png,../data/AI/prompt_1/stimuli_G/Dalle33.png,0.55,61.0
AI_prompt1,G,Dalle34.png,../data/AI/prompt_1/stimuli_G/Dalle34.png,0.65,84.0
AI_prompt1,G,Dalle35.png,../data/AI/prompt_1/stimuli_G/Dalle35.png,0.75,96.0
AI_prompt1,G,Dalle36.png,../data/AI/prompt_1/stimuli_G/Dalle36.png,0.66,85.0
AI_prompt1,G,Dalle37.png,../data/AI/prompt_1/stimuli_G/Dalle37.png,0.69,90.0
AI_prompt1,G,Dalle38.png,../data/AI/prompt_1/stimuli_G/Dalle38.png,0.55,59.0
AI_prompt1,G,Dalle39.png,../data/AI/prompt_1/stimuli_G/Dalle39.png,0.66,86.0
AI_prompt1,G,Dalle40.png,../data/AI/prompt_1/stimuli_G/Dalle40.png,0.78,97.0
AI_prompt1,G,Dalle41.png,../data/AI/prompt_1/stimuli_G/Dalle41.png,0.7,91.0
AI_prompt1,G,Dalle42.png,../data/AI/prompt_1/stimuli_G/Dalle42.png,0.53,55.0
AI_prompt1,G,Dalle43.png,../data/AI/prompt_1/stimuli_G/Dalle43.png,0.68,88.0
AI_prompt1,G,Dalle44.png,../data/AI/prompt_1/stimuli_G/Dalle44.png,0.52,51.0
AI_prompt1,G,Dalle45.png,../data/AI/prompt_1/stimuli_G/Dalle45.png,0.66,85.0
AI_prompt1,G,Dalle46.png,../data/AI/prompt_1/stimuli_G/Dalle46.png,0.51,50.0
AI_prompt1,G,Dalle47.png,../data/AI/prompt_1/stimuli_G/Dalle47.png,0.54,58.0
AI_prompt1,G,Dalle48.png,../data/AI/prompt_1/stimuli_G/Dalle48.png,0.76,96.0
AI_prompt1,G,Dalle49.png,../data/AI/prompt_1/stimuli_G/Dalle49.png,0.69,89.0
AI_prompt1,G,Dalle50.png,../data/AI/prompt_1/stimuli_G/Dalle50.png,0.59,70.0
