"Variable","Coefficients","StdError","PValue","Significance"
"(Intercept)",0.055364562482816,0.0947764597058292,0.583595532644058,"NS"
"ink_density",0.437207688019666,0.0206916234950825,1.16201904388093e-85,"***"
"dist_from_base_shape_clip",0.335542347666923,0.0245777172412998,8.31483272563873e-40,"***"
"image_10NN_clip",0.0960464270992465,0.0232252118641846,3.76508388608622e-05,"***"
"text_10NN_gtelarge",0.0699219382306072,0.0207641382290333,0.00078038132699779,"***"
"used_stimulus",-0.00142946076517384,0.0236984225571859,0.951911567492988,"NS"
"category_hard_to_interpret1",0.0300426631489201,0.0440421443439368,0.495272952134829,"NS"
