"Variable","Coefficients","StdError","PValue","Significance"
"(Intercept)",0.188268991533341,0.0997003124130466,0.117375876202826,"NS"
"ink_density",0.149047776892415,0.0211099708000701,2.66592521465534e-12,"***"
"dist_from_base_shape_clip",0.345713289370883,0.0250699642899224,1.57806281049665e-40,"***"
"image_10NN_clip",-0.0369943223196753,0.023690473875761,0.118627712321417,"NS"
"text_10NN_gtelarge",0.141792334707273,0.0211808228579169,3.18547489290924e-11,"***"
"used_stimulus",0.159457619946996,0.024188635088415,6.40358100991581e-11,"***"
"category_hard_to_interpret1",-0.768461372211834,0.0449240346204786,1.95324735076134e-59,"***"
