percentile,score_norm
0,0.0
1,0.2658954269536899
2,0.29457921333383075
3,0.30310490366607795
4,0.3112277375239338
5,0.3200521694123999
6,0.3281155279694775
7,0.33505868144658657
8,0.3392089731525685
9,0.34112156925606424
10,0.3469171398619739
11,0.3511710111618856
12,0.3568430068136271
13,0.36180990478859454
14,0.3620405096808955
15,0.3660549175130392
16,0.3713281681316126
17,0.3758821435250105
18,0.38007216818894674
19,0.38286859218641567
20,0.3851654423305501
21,0.38878772721364474
22,0.3933188590264441
23,0.3985148402511076
24,0.4020135391925982
25,0.4059742928167005
26,0.4116649490408034
27,0.4158741294366881
28,0.42095292315008237
29,0.42500796302503663
30,0.42947442498133825
31,0.43421050644034465
32,0.43848988145355117
33,0.4428767461965395
34,0.44774875322791224
35,0.4520888259135842
36,0.4561818524913554
37,0.45951053385996776
38,0.4654170913642474
39,0.46936765339064945
40,0.47374096009598826
41,0.4778733813156729
42,0.48168420678878365
43,0.4858078800434697
44,0.489977885665859
45,0.49222064341619076
46,0.4935026730860239
47,0.49741882057510833
48,0.5018924541619932
49,0.5059561160864396
50,0.5104564475386445
51,0.5147230242331543
52,0.5183986906290778
53,0.5225670918406934
54,0.5259651360191281
55,0.5288777252975223
56,0.5324189434087236
57,0.5366995325233963
58,0.5407957310743421
59,0.5445732698714345
60,0.5486969650375954
61,0.5517929075887892
62,0.5552200888240536
63,0.5591196062209663
64,0.5634000324385277
65,0.5671347562440855
66,0.5706120211744352
67,0.573789230587204
68,0.577790110565303
69,0.5822551850499115
70,0.586409034837951
71,0.590284528513099
72,0.5940106484952778
73,0.5977210767573214
74,0.602416228103494
75,0.6066765752140205
76,0.6120308682527665
77,0.6158761623245004
78,0.6200640057567599
79,0.6246296981878875
80,0.6293587808987731
81,0.6344289521636639
82,0.6395740140855798
83,0.6448253685442593
84,0.650423636218271
85,0.6558870284254413
86,0.6615215893114951
87,0.6666412816994163
88,0.6733659429202951
89,0.6803897908526316
90,0.6873526726184538
91,0.6954822613275397
92,0.7039240961497323
93,0.7140753120540401
94,0.7245636076473253
95,0.7356199857393928
96,0.7505542818394643
97,0.7701851740360041
98,0.794328590193434
99,0.8426026407211062
100,0.9929171993962822
