pid,creator,age,filenames,filepaths,flexibility_manual,flexibility_categories
634,adults,,"634__8953_9.jpg, 634__8954_11.jpg, 634__8960_56.jpg","../data/adults/stimuli_G/634__8953_9.jpg, ../data/adults/stimuli_I/634__8954_11.jpg, ../data/adults/stimuli_R/634__8960_56.jpg",2,2
635,adults,,"635__8965_9.jpg, 635__8966_11.jpg, 635__8972_56.jpg","../data/adults/stimuli_G/635__8965_9.jpg, ../data/adults/stimuli_I/635__8966_11.jpg, ../data/adults/stimuli_R/635__8972_56.jpg",0,1
680,adults,,"680__396_9.jpg, 680__397_11.jpg, 680__402_56.jpg","../data/adults/stimuli_G/680__396_9.jpg, ../data/adults/stimuli_I/680__397_11.jpg, ../data/adults/stimuli_R/680__402_56.jpg",1,1
681,adults,,"681__406_9.jpg, 681__407_11.jpg, 681__1442_56.jpg","../data/adults/stimuli_G/681__406_9.jpg, ../data/adults/stimuli_I/681__407_11.jpg, ../data/adults/stimuli_R/681__1442_56.jpg",0,1
685,adults,,"685__411_9.jpg, 685__412_11.jpg, 685__416_56.jpg","../data/adults/stimuli_G/685__411_9.jpg, ../data/adults/stimuli_I/685__412_11.jpg, ../data/adults/stimuli_R/685__416_56.jpg",0,1
720,adults,,"720__8991_9.jpg, 720__6453_11.jpg, 720__6459_56.jpg","../data/adults/stimuli_G/720__8991_9.jpg, ../data/adults/stimuli_I/720__6453_11.jpg, ../data/adults/stimuli_R/720__6459_56.jpg",2,2
733,adults,,"733__6606_9.jpg, 733__6607_11.jpg, 733__6613_56.jpg","../data/adults/stimuli_G/733__6606_9.jpg, ../data/adults/stimuli_I/733__6607_11.jpg, ../data/adults/stimuli_R/733__6613_56.jpg",1,2
737,adults,,"737__6654_9.jpg, 737__6655_11.jpg, 737__6661_56.jpg","../data/adults/stimuli_G/737__6654_9.jpg, ../data/adults/stimuli_I/737__6655_11.jpg, ../data/adults/stimuli_R/737__6661_56.jpg",1,2
738,adults,,"738__6666_9.jpg, 738__6667_11.jpg, 738__6672_56.jpg","../data/adults/stimuli_G/738__6666_9.jpg, ../data/adults/stimuli_I/738__6667_11.jpg, ../data/adults/stimuli_R/738__6672_56.jpg",1,2
914,adults,,"914__9371_9.jpg, 914__9372_11.jpg, 914__9378_56.jpg","../data/adults/stimuli_G/914__9371_9.jpg, ../data/adults/stimuli_I/914__9372_11.jpg, ../data/adults/stimuli_R/914__9378_56.jpg",1,2
915,adults,,"915__9383_9.jpg, 915__9384_11.jpg, 915__9390_56.jpg","../data/adults/stimuli_G/915__9383_9.jpg, ../data/adults/stimuli_I/915__9384_11.jpg, ../data/adults/stimuli_R/915__9390_56.jpg",2,2
916,adults,,"916__9395_9.jpg, 916__9396_11.jpg, 916__9402_56.jpg","../data/adults/stimuli_G/916__9395_9.jpg, ../data/adults/stimuli_I/916__9396_11.jpg, ../data/adults/stimuli_R/916__9402_56.jpg",2,2
920,adults,,"920__9443_9.jpg, 920__9444_11.jpg, 920__9450_56.jpg","../data/adults/stimuli_G/920__9443_9.jpg, ../data/adults/stimuli_I/920__9444_11.jpg, ../data/adults/stimuli_R/920__9450_56.jpg",1,1
938,adults,,"938__7047_9.jpg, 938__7048_11.jpg, 938__7054_56.jpg","../data/adults/stimuli_G/938__7047_9.jpg, ../data/adults/stimuli_I/938__7048_11.jpg, ../data/adults/stimuli_R/938__7054_56.jpg",1,1
978,adults,,"978__7095_9.jpg, 978__9584_11.jpg, 978__9590_56.jpg","../data/adults/stimuli_G/978__7095_9.jpg, ../data/adults/stimuli_I/978__9584_11.jpg, ../data/adults/stimuli_R/978__9590_56.jpg",1,2
981,adults,,"981__7119_9.jpg, 981__7120_11.jpg, 981__7126_56.jpg","../data/adults/stimuli_G/981__7119_9.jpg, ../data/adults/stimuli_I/981__7120_11.jpg, ../data/adults/stimuli_R/981__7126_56.jpg",2,2
987,adults,,"987__9677_9.jpg, 987__9678_11.jpg, 987__9684_56.jpg","../data/adults/stimuli_G/987__9677_9.jpg, ../data/adults/stimuli_I/987__9678_11.jpg, ../data/adults/stimuli_R/987__9684_56.jpg",1,2
991,adults,,"991__7221_9.jpg, 991__7222_11.jpg, 991__7228_56.jpg","../data/adults/stimuli_G/991__7221_9.jpg, ../data/adults/stimuli_I/991__7222_11.jpg, ../data/adults/stimuli_R/991__7228_56.jpg",1,2
992,adults,,"992__7232_9.jpg, 992__9714_11.jpg, 992__7233_56.jpg","../data/adults/stimuli_G/992__7232_9.jpg, ../data/adults/stimuli_I/992__9714_11.jpg, ../data/adults/stimuli_R/992__7233_56.jpg",1,2
1621,adults,,"1621__1233_9.jpg, 1621__1234_11.jpg, 1621__1240_56.jpg","../data/adults/stimuli_G/1621__1233_9.jpg, ../data/adults/stimuli_I/1621__1234_11.jpg, ../data/adults/stimuli_R/1621__1240_56.jpg",2,2
1622,adults,,"1622__7239_9.jpg, 1622__7240_11.jpg, 1622__7246_56.jpg","../data/adults/stimuli_G/1622__7239_9.jpg, ../data/adults/stimuli_I/1622__7240_11.jpg, ../data/adults/stimuli_R/1622__7246_56.jpg",0,1
1626,adults,,"1626__1256_9.jpg, 1626__1257_11.jpg, 1626__1261_56.jpg","../data/adults/stimuli_G/1626__1256_9.jpg, ../data/adults/stimuli_I/1626__1257_11.jpg, ../data/adults/stimuli_R/1626__1261_56.jpg",2,2
1663,adults,,"1663__1266_9.jpg, 1663__1267_11.jpg, 1663__1271_56.jpg","../data/adults/stimuli_G/1663__1266_9.jpg, ../data/adults/stimuli_I/1663__1267_11.jpg, ../data/adults/stimuli_R/1663__1271_56.jpg",1,1
1664,adults,,"1664__1276_9.jpg, 1664__1277_11.jpg, 1664__1281_56.jpg","../data/adults/stimuli_G/1664__1276_9.jpg, ../data/adults/stimuli_I/1664__1277_11.jpg, ../data/adults/stimuli_R/1664__1281_56.jpg",2,2
1665,adults,,"1665__1286_9.jpg, 1665__362_11.jpg, 1665__1291_56.jpg","../data/adults/stimuli_G/1665__1286_9.jpg, ../data/adults/stimuli_I/1665__362_11.jpg, ../data/adults/stimuli_R/1665__1291_56.jpg",2,2
1666,adults,,"1666__1295_9.jpg, 1666__1296_11.jpg, 1666__1302_56.jpg","../data/adults/stimuli_G/1666__1295_9.jpg, ../data/adults/stimuli_I/1666__1296_11.jpg, ../data/adults/stimuli_R/1666__1302_56.jpg",1,1
1667,adults,,"1667__1307_9.jpg, 1667__1308_11.jpg, 1667__364_56.jpg","../data/adults/stimuli_G/1667__1307_9.jpg, ../data/adults/stimuli_I/1667__1308_11.jpg, ../data/adults/stimuli_R/1667__364_56.jpg",2,2
1675,adults,,"1675__9725_9.jpg, 1675__9726_11.jpg, 1675__9732_56.jpg","../data/adults/stimuli_G/1675__9725_9.jpg, ../data/adults/stimuli_I/1675__9726_11.jpg, ../data/adults/stimuli_R/1675__9732_56.jpg",1,2
1676,adults,,"1676__9737_9.jpg, 1676__9738_11.jpg, 1676__9744_56.jpg","../data/adults/stimuli_G/1676__9737_9.jpg, ../data/adults/stimuli_I/1676__9738_11.jpg, ../data/adults/stimuli_R/1676__9744_56.jpg",1,2
1740,adults,,"1740__1329_9.jpg, 1740__1330_11.jpg, 1740__1335_56.jpg","../data/adults/stimuli_G/1740__1329_9.jpg, ../data/adults/stimuli_I/1740__1330_11.jpg, ../data/adults/stimuli_R/1740__1335_56.jpg",1,2
1741,adults,,"1741__368_9.jpg, 1741__1338_11.jpg, 1741__1343_56.jpg","../data/adults/stimuli_G/1741__368_9.jpg, ../data/adults/stimuli_I/1741__1338_11.jpg, ../data/adults/stimuli_R/1741__1343_56.jpg",2,2
1743,adults,,"1743__1355_9.jpg, 1743__1356_11.jpg, 1743__1361_56.jpg","../data/adults/stimuli_G/1743__1355_9.jpg, ../data/adults/stimuli_I/1743__1356_11.jpg, ../data/adults/stimuli_R/1743__1361_56.jpg",1,2
1744,adults,,"1744__1365_9.jpg, 1744__1366_11.jpg, 1744__1371_56.jpg","../data/adults/stimuli_G/1744__1365_9.jpg, ../data/adults/stimuli_I/1744__1366_11.jpg, ../data/adults/stimuli_R/1744__1371_56.jpg",0,0
1748,adults,,"1748__1375_9.jpg, 1748__1376_11.jpg, 1748__1379_56.jpg","../data/adults/stimuli_G/1748__1375_9.jpg, ../data/adults/stimuli_I/1748__1376_11.jpg, ../data/adults/stimuli_R/1748__1379_56.jpg",1,2
1749,adults,,"1749__1381_9.jpg, 1749__381_11.jpg, 1749__1385_56.jpg","../data/adults/stimuli_G/1749__1381_9.jpg, ../data/adults/stimuli_I/1749__381_11.jpg, ../data/adults/stimuli_R/1749__1385_56.jpg",1,2
1750,adults,,"1750__385_9.jpg, 1750__1389_11.jpg, 1750__1395_56.jpg","../data/adults/stimuli_G/1750__385_9.jpg, ../data/adults/stimuli_I/1750__1389_11.jpg, ../data/adults/stimuli_R/1750__1395_56.jpg",1,2
1751,adults,,"1751__1400_9.jpg, 1751__1401_11.jpg, 1751__1407_56.jpg","../data/adults/stimuli_G/1751__1400_9.jpg, ../data/adults/stimuli_I/1751__1401_11.jpg, ../data/adults/stimuli_R/1751__1407_56.jpg",2,2
1753,adults,,"1753__1411_9.jpg, 1753__1412_11.jpg, 1753__1415_56.jpg","../data/adults/stimuli_G/1753__1411_9.jpg, ../data/adults/stimuli_I/1753__1412_11.jpg, ../data/adults/stimuli_R/1753__1415_56.jpg",1,2
1755,adults,,"1755__1420_9.jpg, 1755__1421_11.jpg, 1755__1426_56.jpg","../data/adults/stimuli_G/1755__1420_9.jpg, ../data/adults/stimuli_I/1755__1421_11.jpg, ../data/adults/stimuli_R/1755__1426_56.jpg",1,1
