pid,creator,age,filenames,filepaths,flexibility_manual,flexibility_categories
259,adults,,"259__4203_9.jpg, 259__4204_11.jpg, 259__4210_56.jpg","../data/adults/stimuli_G/259__4203_9.jpg, ../data/adults/stimuli_I/259__4204_11.jpg, ../data/adults/stimuli_R/259__4210_56.jpg",1,0
263,adults,,"263__7333_9.jpg, 263__7334_11.jpg, 263__7340_56.jpg","../data/adults/stimuli_G/263__7333_9.jpg, ../data/adults/stimuli_I/263__7334_11.jpg, ../data/adults/stimuli_R/263__7340_56.jpg",2,2
265,adults,,"265__4227_9.jpg, 265__5605_11.jpg, 265__4234_56.jpg","../data/adults/stimuli_G/265__4227_9.jpg, ../data/adults/stimuli_I/265__5605_11.jpg, ../data/adults/stimuli_R/265__4234_56.jpg",2,2
269,adults,,"269__4249_9.jpg, 269__4250_11.jpg, 269__4255_56.jpg","../data/adults/stimuli_G/269__4249_9.jpg, ../data/adults/stimuli_I/269__4250_11.jpg, ../data/adults/stimuli_R/269__4255_56.jpg",2,2
275,adults,,"275__4260_9.jpg, 275__4261_11.jpg, 275__4267_56.jpg","../data/adults/stimuli_G/275__4260_9.jpg, ../data/adults/stimuli_I/275__4261_11.jpg, ../data/adults/stimuli_R/275__4267_56.jpg",1,2
285,adults,,"285__4284_9.jpg, 285__4285_11.jpg, 285__4291_56.jpg","../data/adults/stimuli_G/285__4284_9.jpg, ../data/adults/stimuli_I/285__4285_11.jpg, ../data/adults/stimuli_R/285__4291_56.jpg",1,1
287,adults,,"287__5661_9.jpg, 287__5662_11.jpg, 287__5668_56.jpg","../data/adults/stimuli_G/287__5661_9.jpg, ../data/adults/stimuli_I/287__5662_11.jpg, ../data/adults/stimuli_R/287__5668_56.jpg",2,2
298,adults,,"298__4324_9.jpg, 298__4325_11.jpg, 298__4331_56.jpg","../data/adults/stimuli_G/298__4324_9.jpg, ../data/adults/stimuli_I/298__4325_11.jpg, ../data/adults/stimuli_R/298__4331_56.jpg",1,2
301,adults,,"301__5703_9.jpg, 301__5704_11.jpg, 301__4343_56.jpg","../data/adults/stimuli_G/301__5703_9.jpg, ../data/adults/stimuli_I/301__5704_11.jpg, ../data/adults/stimuli_R/301__4343_56.jpg",2,2
302,adults,,"302__4347_9.jpg, 302__4348_11.jpg, 302__4353_56.jpg","../data/adults/stimuli_G/302__4347_9.jpg, ../data/adults/stimuli_I/302__4348_11.jpg, ../data/adults/stimuli_R/302__4353_56.jpg",1,2
315,adults,,"315__5727_9.jpg, 315__5728_11.jpg, 315__5734_56.jpg","../data/adults/stimuli_G/315__5727_9.jpg, ../data/adults/stimuli_I/315__5728_11.jpg, ../data/adults/stimuli_R/315__5734_56.jpg",2,2
324,adults,,"324__5744_9.jpg, 324__5745_11.jpg, 324__5748_56.jpg","../data/adults/stimuli_G/324__5744_9.jpg, ../data/adults/stimuli_I/324__5745_11.jpg, ../data/adults/stimuli_R/324__5748_56.jpg",1,2
340,adults,,"340__5785_9.jpg, 340__5786_11.jpg, 340__5792_56.jpg","../data/adults/stimuli_G/340__5785_9.jpg, ../data/adults/stimuli_I/340__5786_11.jpg, ../data/adults/stimuli_R/340__5792_56.jpg",1,1
346,adults,,"346__5809_9.jpg, 346__5810_11.jpg, 346__5815_56.jpg","../data/adults/stimuli_G/346__5809_9.jpg, ../data/adults/stimuli_I/346__5810_11.jpg, ../data/adults/stimuli_R/346__5815_56.jpg",2,2
356,adults,,"356__5842_9.jpg, 356__5843_11.jpg, 356__5849_56.jpg","../data/adults/stimuli_G/356__5842_9.jpg, ../data/adults/stimuli_I/356__5843_11.jpg, ../data/adults/stimuli_R/356__5849_56.jpg",1,1
