image1,image2,image3,flexibility_manual,categories_image1,categories_image2,categories_image3,flexibility_category
../../data/AI/prompt_2/stimuli_G/Dalle10.png,../../data/AI/prompt_2/stimuli_I/Dalle23.png,../../data/AI/prompt_2/stimuli_R/Dalle37.png,0,pineapple,abstract doodle/hard to interpret,abstract doodle/hard to interpret,1
../../data/AI/prompt_2/stimuli_G/Dalle19.png,../../data/AI/prompt_2/stimuli_I/Dalle03.png,../../data/AI/prompt_2/stimuli_R/Dalle07.png,2,trash,watering can,chair abstract doodle/hard to interpret,2
../../data/AI/prompt_2/stimuli_G/Dalle39.png,../../data/AI/prompt_2/stimuli_I/Dalle24.png,../../data/AI/prompt_2/stimuli_R/Dalle42.png,1,abstract doodle/hard to interpret,bag arch,plant candle vase,2
../../data/AI/prompt_2/stimuli_G/Dalle27.png,../../data/AI/prompt_2/stimuli_I/Dalle01.png,../../data/AI/prompt_2/stimuli_R/Dalle11.png,0,abstract doodle/hard to interpret mountain,abstract doodle/hard to interpret,abstract doodle/hard to interpret,0
../../data/AI/prompt_2/stimuli_G/Dalle22.png,../../data/AI/prompt_2/stimuli_I/Dalle11.png,../../data/AI/prompt_2/stimuli_R/Dalle25.png,1,house trees cup,abstract doodle/hard to interpret,desk display lamp,2
../../data/AI/prompt_2/stimuli_G/Dalle11.png,../../data/AI/prompt_2/stimuli_I/Dalle21.png,../../data/AI/prompt_2/stimuli_R/Dalle09.png,1,cat(s) plant(s),bag,abstract doodle/hard to interpret,2
../../data/AI/prompt_2/stimuli_G/Dalle04.png,../../data/AI/prompt_2/stimuli_I/Dalle15.png,../../data/AI/prompt_2/stimuli_R/Dalle17.png,2,door house plant(s),bag vase,glass,2
../../data/AI/prompt_2/stimuli_G/Dalle01.png,../../data/AI/prompt_2/stimuli_I/Dalle37.png,../../data/AI/prompt_2/stimuli_R/Dalle18.png,1,container,bag,abstract doodle/hard to interpret,2
../../data/AI/prompt_2/stimuli_G/Dalle26.png,../../data/AI/prompt_2/stimuli_I/Dalle29.png,../../data/AI/prompt_2/stimuli_R/Dalle14.png,1,door house windows,bag writing,bottle arch,2
../../data/AI/prompt_2/stimuli_G/Dalle23.png,../../data/AI/prompt_2/stimuli_I/Dalle49.png,../../data/AI/prompt_2/stimuli_R/Dalle32.png,0,door abstract doodle/hard to interpet,bag,abstract doodle/hard to interpret,1
../../data/AI/prompt_2/stimuli_G/Dalle42.png,../../data/AI/prompt_2/stimuli_I/Dalle10.png,../../data/AI/prompt_2/stimuli_R/Dalle04.png,2,wine glasses,kettle,desk display plant,2
../../data/AI/prompt_2/stimuli_G/Dalle12.png,../../data/AI/prompt_2/stimuli_I/Dalle36.png,../../data/AI/prompt_2/stimuli_R/Dalle38.png,1,door moon,bag,abstract doodle/hard to interpret,2
../../data/AI/prompt_2/stimuli_G/Dalle07.png,../../data/AI/prompt_2/stimuli_I/Dalle44.png,../../data/AI/prompt_2/stimuli_R/Dalle13.png,0,doors lamps,kettle,abstract doodle/hard to interpret,2
../../data/AI/prompt_2/stimuli_G/Dalle36.png,../../data/AI/prompt_2/stimuli_I/Dalle28.png,../../data/AI/prompt_2/stimuli_R/Dalle10.png,0,car arch,abstract doodle/hard to interpret,abstract doodle/hard to interpret,1
../../data/AI/prompt_2/stimuli_G/Dalle06.png,../../data/AI/prompt_2/stimuli_I/Dalle41.png,../../data/AI/prompt_2/stimuli_R/Dalle24.png,2,house,lock,table frame,2
../../data/AI/prompt_2/stimuli_G/Dalle47.png,../../data/AI/prompt_2/stimuli_I/Dalle17.png,../../data/AI/prompt_2/stimuli_R/Dalle30.png,0,abstract doodle/hard to interpret,abstract doodle/hard to interpret,abstract doodle/hard to interpret,0
../../data/AI/prompt_2/stimuli_G/Dalle32.png,../../data/AI/prompt_2/stimuli_I/Dalle08.png,../../data/AI/prompt_2/stimuli_R/Dalle03.png,1,abstract doodle/hard to interpret arch,bag,dresser,2
../../data/AI/prompt_2/stimuli_G/Dalle43.png,../../data/AI/prompt_2/stimuli_I/Dalle35.png,../../data/AI/prompt_2/stimuli_R/Dalle35.png,0,abstract doodle/hard to interpret,booth trash can,abstract doodle/hard to interpret,1
../../data/AI/prompt_2/stimuli_G/Dalle28.png,../../data/AI/prompt_2/stimuli_I/Dalle25.png,../../data/AI/prompt_2/stimuli_R/Dalle19.png,2,door building,bag,bed painting,2
../../data/AI/prompt_2/stimuli_G/Dalle17.png,../../data/AI/prompt_2/stimuli_I/Dalle14.png,../../data/AI/prompt_2/stimuli_R/Dalle39.png,2,door plant(s) window,fruit container,table lamp glass,2
../../data/AI/prompt_2/stimuli_G/Dalle44.png,../../data/AI/prompt_2/stimuli_I/Dalle04.png,../../data/AI/prompt_2/stimuli_R/Dalle16.png,1,door,abstract doodle/hard to interpret,chair(s) window plant(s),2
../../data/AI/prompt_2/stimuli_G/Dalle35.png,../../data/AI/prompt_2/stimuli_I/Dalle05.png,../../data/AI/prompt_2/stimuli_R/Dalle40.png,1,abstract doodle/hard to interpret,person(s) abstract doodle/hard to interpret,display desk,2
../../data/AI/prompt_2/stimuli_G/Dalle50.png,../../data/AI/prompt_2/stimuli_I/Dalle18.png,../../data/AI/prompt_2/stimuli_R/Dalle48.png,1,city,bag,abstract doodle/hard to interpret,2
../../data/AI/prompt_2/stimuli_G/Dalle30.png,../../data/AI/prompt_2/stimuli_I/Dalle07.png,../../data/AI/prompt_2/stimuli_R/Dalle21.png,0,abstract doodle/hard to interpret,cup(s) abstract doodle/hard to interpret,abstract doodle/hard to interpret,1
../../data/AI/prompt_2/stimuli_G/Dalle49.png,../../data/AI/prompt_2/stimuli_I/Dalle45.png,../../data/AI/prompt_2/stimuli_R/Dalle43.png,0,abstract doodle/hard to interpret,abstract doodle/hard to interpret,bench plant lamp,1
../../data/AI/prompt_2/stimuli_G/Dalle21.png,../../data/AI/prompt_2/stimuli_I/Dalle47.png,../../data/AI/prompt_2/stimuli_R/Dalle31.png,2,cup(s) digital device,bag,window curtains,2
../../data/AI/prompt_2/stimuli_G/Dalle31.png,../../data/AI/prompt_2/stimuli_I/Dalle43.png,../../data/AI/prompt_2/stimuli_R/Dalle33.png,0,cup(s) table,abstract doodle/hard to interpret,abstract doodle/hard to interpret,1
../../data/AI/prompt_3/stimuli_G/Dalle30.png,../../data/AI/prompt_3/stimuli_I/Dalle32.png,../../data/AI/prompt_3/stimuli_R/Dalle04.png,0,person(s),person(s),person(s),0
../../data/AI/prompt_3/stimuli_G/Dalle16.png,../../data/AI/prompt_3/stimuli_I/Dalle29.png,../../data/AI/prompt_3/stimuli_R/Dalle23.png,0,person(s),abstract doodle/hard to interpret,abstract doodle/hard to interpret,1
../../data/AI/prompt_3/stimuli_G/Dalle38.png,../../data/AI/prompt_3/stimuli_I/Dalle42.png,../../data/AI/prompt_3/stimuli_R/Dalle48.png,0,abstract doodle/hard to interpret person(s),abstract doodle/hard to interpret,person(s),1
../../data/AI/prompt_3/stimuli_G/Dalle10.png,../../data/AI/prompt_3/stimuli_I/Dalle38.png,../../data/AI/prompt_3/stimuli_R/Dalle27.png,1,person(s) arch,creature(s),person(s),1
../../data/AI/prompt_3/stimuli_G/Dalle35.png,../../data/AI/prompt_3/stimuli_I/Dalle47.png,../../data/AI/prompt_3/stimuli_R/Dalle32.png,1,playing card,abstract doodle/hard to interpret,person(s),2
../../data/AI/prompt_3/stimuli_G/Dalle20.png,../../data/AI/prompt_3/stimuli_I/Dalle08.png,../../data/AI/prompt_3/stimuli_R/Dalle22.png,1,person(s) animal arch,person(s) stool,face(s),1
../../data/AI/prompt_3/stimuli_G/Dalle24.png,../../data/AI/prompt_3/stimuli_I/Dalle44.png,../../data/AI/prompt_3/stimuli_R/Dalle39.png,0,abstract doodle/hard to interpret,abstract doodle/hard to interpret,abstract doodle/hard to interpret,0
../../data/AI/prompt_3/stimuli_G/Dalle02.png,../../data/AI/prompt_3/stimuli_I/Dalle35.png,../../data/AI/prompt_3/stimuli_R/Dalle13.png,0,person(s),abstract doodle/hard to interpret,person(s),1
../../data/AI/prompt_3/stimuli_G/Dalle13.png,../../data/AI/prompt_3/stimuli_I/Dalle11.png,../../data/AI/prompt_3/stimuli_R/Dalle29.png,1,person(s) kissing,person(s),abstract doodle/hard to interpret,2
../../data/AI/prompt_3/stimuli_G/Dalle11.png,../../data/AI/prompt_3/stimuli_I/Dalle28.png,../../data/AI/prompt_3/stimuli_R/Dalle31.png,1,creature(s),person(s),abstract doodle/hard to interpret,2
../../data/AI/prompt_3/stimuli_G/Dalle28.png,../../data/AI/prompt_3/stimuli_I/Dalle21.png,../../data/AI/prompt_3/stimuli_R/Dalle06.png,1,person(s),face(s),stick figure,2
