filenames,predictions
Dalle01.png,0.6626376509666443
Dalle02.png,0.5998635292053223
Dalle03.png,0.4943506419658661
Dalle04.png,0.5834376811981201
Dalle05.png,0.6093641519546509
Dalle06.png,0.4642444849014282
Dalle07.png,0.6184489130973816
Dalle08.png,0.5164191722869873
Dalle09.png,0.49680864810943604
Dalle10.png,0.5429245233535767
Dalle11.png,0.47906267642974854
Dalle12.png,0.6077578067779541
Dalle13.png,0.47265276312828064
Dalle14.png,0.5832109451293945
Dalle15.png,0.5858168601989746
Dalle16.png,0.5239214897155762
Dalle17.png,0.3930984139442444
Dalle18.png,0.42636263370513916
Dalle19.png,0.5242796540260315
Dalle20.png,0.6282192468643188
Dalle21.png,0.5063973665237427
Dalle22.png,0.5109808444976807
Dalle23.png,0.5637933015823364
Dalle24.png,0.5383245944976807
Dalle25.png,0.5125359296798706
Dalle26.png,0.514790952205658
Dalle27.png,0.6475623846054077
Dalle28.png,0.5917720198631287
Dalle29.png,0.518502950668335
Dalle30.png,0.5261037349700928
Dalle31.png,0.5456180572509766
Dalle32.png,0.5829590559005737
Dalle33.png,0.6180961728096008
Dalle34.png,0.46548378467559814
Dalle35.png,0.5252823233604431
Dalle36.png,0.452618807554245
Dalle37.png,0.500714898109436
Dalle38.png,0.5201311111450195
Dalle39.png,0.5921997427940369
Dalle40.png,0.6923022270202637
Dalle41.png,0.5342382192611694
Dalle42.png,0.5758272409439087
Dalle43.png,0.5120341777801514
Dalle44.png,0.5500894784927368
Dalle45.png,0.6163971424102783
Dalle46.png,0.5468876361846924
Dalle47.png,0.4907287359237671
Dalle48.png,0.6239892840385437
Dalle49.png,0.6060253381729126
Dalle50.png,0.5070655345916748
