filenames,predictions
Dalle01.png,0.5994627475738525
Dalle02.png,0.6083284616470337
Dalle03.png,0.5739113688468933
Dalle04.png,0.7198392152786255
Dalle05.png,0.6451021432876587
Dalle06.png,0.598374605178833
Dalle07.png,0.4982759356498718
Dalle08.png,0.7027423977851868
Dalle09.png,0.669320285320282
Dalle10.png,0.5020102262496948
Dalle11.png,0.6741206645965576
Dalle12.png,0.44777244329452515
Dalle13.png,0.4971824288368225
Dalle14.png,0.6664637923240662
Dalle15.png,0.5005612373352051
Dalle16.png,0.5700898170471191
Dalle17.png,0.6436082720756531
Dalle18.png,0.7087967395782471
Dalle19.png,0.7198669910430908
Dalle20.png,0.5518210530281067
Dalle21.png,0.6827437877655029
Dalle22.png,0.7574882507324219
Dalle23.png,0.5774214267730713
Dalle24.png,0.632914662361145
Dalle25.png,0.5450762510299683
Dalle26.png,0.538331151008606
Dalle27.png,0.5451084971427917
Dalle28.png,0.6357954740524292
Dalle29.png,0.6510449647903442
Dalle30.png,0.47127294540405273
Dalle31.png,0.6358084678649902
Dalle32.png,0.6707400679588318
Dalle33.png,0.5850396156311035
Dalle34.png,0.6934593319892883
Dalle35.png,0.507610559463501
Dalle36.png,0.6817362308502197
Dalle37.png,0.5047574043273926
Dalle38.png,0.6194089651107788
Dalle39.png,0.4521169066429138
Dalle40.png,0.6177775859832764
Dalle41.png,0.6818339824676514
Dalle42.png,0.5407216548919678
Dalle43.png,0.5630528330802917
Dalle44.png,0.4834815561771393
Dalle45.png,0.5511409640312195
Dalle46.png,0.5239479541778564
Dalle47.png,0.5099265575408936
Dalle48.png,0.6673958897590637
Dalle49.png,0.514052152633667
Dalle50.png,0.565415620803833
