filenames,predictions
Dalle01.png,0.5836020708084106
Dalle02.png,0.5468735098838806
Dalle03.png,0.5530871748924255
Dalle04.png,0.5302450060844421
Dalle05.png,0.39969953894615173
Dalle06.png,0.5833938121795654
Dalle07.png,0.6600956320762634
Dalle08.png,0.5663556456565857
Dalle09.png,0.6405571103096008
Dalle10.png,0.5270847082138062
Dalle11.png,0.49453580379486084
Dalle12.png,0.5480576753616333
Dalle13.png,0.5390625596046448
Dalle14.png,0.4422214925289154
Dalle15.png,0.5605312585830688
Dalle16.png,0.5869072675704956
Dalle17.png,0.5990718603134155
Dalle18.png,0.5256283283233643
Dalle19.png,0.4393245577812195
Dalle20.png,0.3832113742828369
Dalle21.png,0.5476853847503662
Dalle22.png,0.5035423040390015
Dalle23.png,0.6250321865081787
Dalle24.png,0.4559422433376312
Dalle25.png,0.5080897808074951
Dalle26.png,0.4601825475692749
Dalle27.png,0.4773903489112854
Dalle28.png,0.43100714683532715
Dalle29.png,0.6619681715965271
Dalle30.png,0.5554934144020081
Dalle31.png,0.5932146906852722
Dalle32.png,0.4891813099384308
Dalle33.png,0.5279375314712524
Dalle34.png,0.5188308358192444
Dalle35.png,0.5494601130485535
Dalle36.png,0.4726792573928833
Dalle37.png,0.3201480805873871
Dalle38.png,0.5298071503639221
Dalle39.png,0.69101482629776
Dalle40.png,0.4251098036766052
Dalle41.png,0.37687182426452637
Dalle42.png,0.4134921431541443
Dalle43.png,0.5443121790885925
Dalle44.png,0.5273938179016113
Dalle45.png,0.5099052786827087
Dalle46.png,0.7500072717666626
Dalle47.png,0.44718503952026367
Dalle48.png,0.6920605897903442
Dalle49.png,0.4862557649612427
Dalle50.png,0.48871123790740967
